Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/endpoints (Catalog),36,0,1.1407190000056744,1.6003019722236427,1.1407190000056744,2.912928999990072,1360.0,1.2405368332607047,0.0,1,2,2,2,2,2,3,3,3,3,3
GET,/api/health,15,0,1.0155940000089458,2.0791931333330163,1.0155940000089458,11.446531999993681,54.0,0.5168903471919603,0.0,1,1,2,2,2,11,11,11,11,11,11
GET,/api/runs (Fetch ID),17,0,2,2.264344588233351,1.818625999987944,2.7724039999981187,28184.0,0.5858090601508883,0.0,2,2,3,3,3,3,3,3,3,3,3
GET,/api/runs (List),60,0,2,2.6349907999995517,1.7385399999909623,16.348822000011864,28184.0,2.067561388767841,0.0,2,2,3,3,3,3,4,16,16,16,16
GET,/api/runs/:id/scenarios,17,0,2,1.9526109411784507,1.4519320000090374,2.4946040000060066,52038.41176470588,0.5858090601508883,0.0,2,2,2,2,2,2,2,2,2,2,2
,Aggregated,145,0,2,2.197148000000139,1.0155940000089458,16.348822000011864,21410.972413793104,4.996606689522283,0.0,2,2,2,2,3,3,4,11,16,16,16
