Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1769817269,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1769817270,1,,Aggregated,0.000000,0.000000,20,20,20,20,20,20,20,20,20,20,20,1,0,20.121985999935532,20.121985999935532,20.121985999935532,20.121985999935532,15059.0
1769817271,2,,Aggregated,0.000000,0.000000,20,20,20,20,20,20,20,20,20,20,20,2,0,2.116150999995625,11.119068499965579,2.116150999995625,20.121985999935532,8211.5
1769817272,3,,Aggregated,1.000000,0.000000,3,3,20,20,20,20,20,20,20,20,20,4,0,3,6.95456650001347,2.116150999995625,20.121985999935532,11635.25
1769817273,4,,Aggregated,1.000000,0.000000,3,3,3,3,20,20,20,20,20,20,20,6,0,3,5.344198833351281,1.6896040000347057,20.121985999935532,10275.666666666666
1769817274,5,,Aggregated,1.000000,0.000000,2,3,3,3,20,20,20,20,20,20,20,9,0,2,4.2839747778139605,1.6896040000347057,20.121985999935532,10348.444444444445
1769817275,6,,Aggregated,1.250000,0.000000,2,2,3,3,3,20,20,20,20,20,20,14,0,2,3.507740071459661,1.6896040000347057,20.121985999935532,14374.642857142857
1769817276,7,,Aggregated,1.600000,0.000000,2,2,2,3,3,20,20,20,20,20,20,19,0,2,3.0966716316003695,1.66964499999267,20.121985999935532,13525.78947368421
1769817277,8,,Aggregated,1.833333,0.000000,2,2,2,2,3,3,20,20,20,20,20,27,0,2,2.7297534814991837,1.3426919999801612,20.121985999935532,13489.407407407407
1769817278,9,,Aggregated,2.142857,0.000000,2,2,2,2,3,3,20,20,20,20,20,35,0,2,2.550003600013692,1.3426919999801612,20.121985999935532,13815.457142857143
1769817279,10,,Aggregated,2.625000,0.000000,2,2,2,2,3,3,20,20,20,20,20,42,0,2,2.4421775000102266,1.3217160000067452,20.121985999935532,15487.380952380952
1769817280,10,,Aggregated,3.333333,0.000000,2,2,2,2,3,3,20,20,20,20,20,48,0,2,2.3541908125134605,1.3137170000163678,20.121985999935532,16602.479166666668
1769817281,10,,Aggregated,3.700000,0.000000,2,2,2,2,3,3,20,20,20,20,20,50,0,2,2.3410586600130046,1.3137170000163678,20.121985999935532,16540.74
1769817282,10,,Aggregated,4.200000,0.000000,2,2,2,2,2,3,3,20,20,20,20,57,0,2,2.2506907368547777,0.9233010000571085,20.121985999935532,16213.666666666666
1769817283,10,,Aggregated,4.600000,0.000000,2,2,2,2,2,3,3,20,20,20,20,60,0,2,2.2424866666767684,0.9233010000571085,20.121985999935532,16155.933333333332
1769817284,10,,Aggregated,4.800000,0.000000,2,2,2,2,2,3,3,20,20,20,20,67,0,2,2.164395343293991,0.9233010000571085,20.121985999935532,15540.537313432837
1769817285,10,,Aggregated,5.200000,0.000000,2,2,2,2,2,3,3,20,20,20,20,72,0,2,2.161961569456139,0.9233010000571085,20.121985999935532,15356.027777777777
1769817286,10,,Aggregated,5.200000,0.000000,2,2,2,2,2,3,3,20,20,20,20,78,0,2,2.127689538473859,0.9233010000571085,20.121985999935532,15321.935897435897
1769817287,10,,Aggregated,5.600000,0.000000,2,2,2,2,2,3,3,20,20,20,20,83,0,2,2.115126795188299,0.9233010000571085,20.121985999935532,14811.096385542169
1769817288,10,,Aggregated,5.800000,0.000000,2,2,2,2,2,3,13,20,20,20,20,88,0,2,2.2225980795527986,0.9233010000571085,20.121985999935532,14669.556818181818
1769817289,10,,Aggregated,5.900000,0.000000,2,2,2,2,2,3,13,20,20,20,20,94,0,2,2.1951157659641662,0.9233010000571085,20.121985999935532,14312.872340425532
1769817290,10,,Aggregated,5.500000,0.000000,2,2,2,2,2,3,3,13,20,20,20,101,0,2,2.164985138620068,0.9233010000571085,20.121985999935532,14418.287128712871
1769817291,10,,Aggregated,5.200000,0.000000,2,2,2,2,2,3,3,13,20,20,20,104,0,2,2.1563775576975805,0.9233010000571085,20.121985999935532,14160.807692307691
1769817292,10,,Aggregated,5.200000,0.000000,2,2,2,2,2,3,3,13,20,20,20,109,0,2,2.1400767247756667,0.9233010000571085,20.121985999935532,14565.669724770642
1769817293,10,,Aggregated,5.300000,0.000000,2,2,2,2,2,3,3,13,20,20,20,118,0,2,2.109126161022201,0.8718990000033955,20.121985999935532,14045.033898305084
1769817294,10,,Aggregated,5.500000,0.000000,2,2,2,2,2,3,3,13,20,20,20,123,0,2,2.101771243908517,0.8718990000033955,20.121985999935532,13969.365853658537
