Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/endpoints (Catalog),25,0,2,2.5443751199827602,1.7638379999880271,15.57440300007329,1365.0,0.8638479403016168,0.0,2,2,2,2,2,3,16,16,16,16,16
GET,/api/health,15,0,2,1.890898133350068,1.7208770000252116,2.4789999999939027,54.0,0.5183087641809702,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/runs (Fetch ID),21,0,2.224973000011232,2.542582095229374,2.224973000011232,3.3323799999607218,16699.0,0.7256322698533582,0.0,2,3,3,3,3,3,3,3,3,3,3
GET,/api/runs (List),61,0,3,2.6943268196832757,2.1909310000864934,5.497570999978052,16699.0,2.107788974335945,0.0,3,3,3,3,3,4,4,5,5,5,5
GET,/api/runs/:id/scenarios,21,0,2,2.6328402857199675,1.5054340000233424,17.342113000040627,33734.47619047619,0.7256322698533582,0.0,2,2,2,2,2,2,17,17,17,17,17
,Aggregated,143,0,2,2.552522069933119,1.5054340000233424,17.342113000040627,14773.965034965035,4.941210218525248,0.0,2,2,3,3,3,3,5,16,17,17,17
