Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/endpoints (Catalog),41,0,2,2.2460394634144794,0.9404309999894167,19.165704000002393,1341.0,1.418956861339196,0.0,2,2,2,2,2,2,19,19,19,19,19
GET,/api/health,19,0,2,1.8015370000012496,1.2573950000103196,2.684645000002206,54.0,0.6575653747669445,0.0,2,2,2,2,2,3,3,3,3,3,3
GET,/api/runs (Fetch ID),17,0,3,3.1297960000002565,2.586324000006357,4.361787000007666,38778.0,0.5883479668967398,0.0,3,3,3,4,4,4,4,4,4,4,4
GET,/api/runs (List),50,0,3,3.130045239998651,2.1248789999930295,4.504109999999173,38778.0,1.7304351967551173,0.0,3,3,3,4,4,4,5,5,5,5,5
GET,/api/runs/:id/scenarios,17,0,3,3.447195176471329,1.8745210000048473,14.331359999999904,71770.82352941176,0.5883479668967398,0.0,3,3,3,3,6,14,14,14,14,14,14
,Aggregated,144,0,3,2.7404717569442147,0.9404309999894167,19.165704000002393,26904.42361111111,4.983653366654737,0.0,3,3,3,3,4,4,6,14,19,19,19
