Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/endpoints (Catalog),34,0,2,2.0406141764677908,1.1889109999856373,11.803271000019322,1361.0,1.1738358607039432,0.0,2,2,2,2,2,3,12,12,12,12,12
GET,/api/health,14,0,1.7449350000333652,1.446534857137749,0.9697309999978643,1.7449350000333652,54.0,0.48334417793691775,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/runs (Fetch ID),27,0,2,2.627219592593772,1.622624999981781,4.372665000005327,29008.0,0.9321637717354843,0.0,2,3,3,3,4,4,4,4,4,4,4
GET,/api/runs (List),53,0,2,2.6627891509457733,1.661259999991671,16.90386600000693,29008.0,1.8298029593326173,0.0,2,3,3,3,3,3,4,17,17,17,17
GET,/api/runs/:id/scenarios,27,0,2,2.0637054814819242,1.4490190000060466,2.8816229999506504,53124.2962962963,0.9321637717354843,0.0,2,2,2,2,3,3,3,3,3,3,3
,Aggregated,155,0,2,2.3059043354838913,0.9697309999978643,16.90386600000693,24529.2,5.351310541444446,0.0,2,2,3,3,3,4,4,12,17,17,17
