Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/endpoints (Catalog),33,0,2,1.8020606969707498,1.0832440000001498,2.199898000000644,1339.0,1.138033952166079,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/health,25,0,2,1.675475879999908,1.1181690000086064,2.8851299999956836,54.0,0.8621469334591508,0.0,2,2,2,2,2,3,3,3,3,3,3
GET,/api/runs (Fetch ID),26,0,3,2.7694102692302853,1.9107109999936256,4.3202609999895,33844.0,0.8966328107975168,0.0,3,3,3,3,4,4,4,4,4,4,4
GET,/api/runs (List),50,0,3,3.3888775199997667,1.8648179999871672,22.140477999997188,33844.0,1.7242938669183017,0.0,3,3,3,3,4,4,22,22,22,22,22
GET,/api/runs/:id/scenarios,26,0,2,2.249380346153902,1.6877540000024283,3.469521999988956,58313.96153846154,0.8966328107975168,0.0,2,2,3,3,3,3,3,3,3,3,3
,Aggregated,160,0,2,2.5080458250000603,1.0832440000001498,22.140477999997188,25836.525,5.517740374138565,0.0,2,3,3,3,3,4,4,15,22,22,22
