Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/endpoints (Catalog),28,0,2,2.1789171071426545,1.3787510000042857,2.978674000019055,1363.0,0.9689428840444357,0.0,2,2,2,2,3,3,3,3,3,3,3
GET,/api/health,19,0,2,1.8656849999962632,1.507982999982005,2.6059870000096907,54.0,0.6574969570301529,0.0,2,2,2,2,2,3,3,3,3,3,3
GET,/api/runs (Fetch ID),15,0,3,3.984700933331927,2.5398649999885947,18.324954000007665,27768.0,0.5190765450238048,0.0,3,3,3,4,4,18,18,18,18,18,18
GET,/api/runs (List),67,0,3,3.17032705970293,1.8308260000026166,18.635474999996404,27768.0,2.3185419011063284,0.0,3,3,3,3,4,4,6,19,19,19,19
GET,/api/runs/:id/scenarios,15,0,2,2.264222333330205,1.7691910000223743,3.7148730000069463,44682.6,0.5190765450238048,0.0,2,2,3,3,3,4,4,4,4,4,4
,Aggregated,144,0,3,2.7958573333329975,1.3787510000042857,18.635474999996404,20738.92361111111,4.983134832228527,0.0,3,3,3,3,3,4,6,18,19,19,19
