Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/endpoints (Catalog),39,0,3,3.751656410410457,1.9831999998132233,11.508800002047792,1364.0,1.3906245512907194,0.0,3,4,4,5,7,9,12,12,12,12,12
GET,/api/health,20,0,3,2.753380000285688,1.8995000027643982,4.482800002733711,54.0,0.7131407955337022,0.0,3,3,3,3,4,4,4,4,4,4,4
GET,/api/runs (Fetch ID),12,0,4,13.32704166725307,2.555999999458436,76.11779999933788,14403.0,0.42788447732022133,0.0,4,10,13,13,27,76,76,76,76,76,76
GET,/api/runs (List),53,0,3,3.77607735833219,2.385899999353569,7.670799997868016,14403.0,1.8898231081643109,0.0,3,4,4,5,6,7,8,8,8,8,8
GET,/api/runs/:id/scenarios,12,0,3,7.33512499967522,2.346199999010423,28.68300000045565,31506.583333333332,0.42788447732022133,0.0,5,7,11,11,13,29,29,29,29,29,29
,Aggregated,136,0,3,4.775443382400494,1.8995000027643982,76.11779999933788,10062.867647058823,4.849357409629175,0.0,3,4,4,5,8,11,27,29,76,76,76
