Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/endpoints (Catalog),40,0,4,4.768964999948366,2.1082999992358964,12.67080000070564,1357.0,1.47153161954192,0.0,4,5,6,7,8,11,13,13,13,13,13
GET,/api/health,18,0,3,3.8199055557520802,2.010300000620191,6.543800000144984,54.0,0.662189228793864,0.0,4,4,5,5,6,7,7,7,7,7,7
GET,/api/runs (Fetch ID),18,0,4,4.8628833332158035,2.176799999688228,9.234899999682966,15059.0,0.662189228793864,0.0,4,5,6,6,9,9,9,9,9,9,9
GET,/api/runs (List),42,0,4,5.886909523919063,2.388700000665267,62.858199999936915,15059.0,1.5451082005190158,0.0,4,4,6,6,9,10,63,63,63,63,63
GET,/api/runs/:id/scenarios,18,0,4,4.33023333329806,2.172900000005029,10.208300000158488,23936.333333333332,0.662189228793864,0.0,4,4,5,6,8,10,10,10,10,10,10
,Aggregated,136,0,4,4.942964705906782,2.010300000620191,62.858199999936915,10217.985294117647,5.003207506442528,0.0,4,5,6,6,8,9,11,13,63,63,63
